
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus               Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

abslen                   0          0          0          0         0         0
len02t2                  0          0          0          0         0         0
len02t3                  0          0          0          0         0         0
len02t1                  0          0          0          0         0         0
12973074m929             0          0          0          0         0         0
12973074m929s            0          0          0          0         0         0
13478619m929             0          0          0          0         0         0
13478619m929s            0          0          0          0         0         0
13478621m929             0          0          0          0         0         0
13478621m929s            0          0          0          0         0         0
12973076m929             0          0          0          0         0         0
12973076m929s            0          0          0          0         0         0
13478524m929             0          0          0          0         0         0
13478524m929s            0          0          0          0         0         0
13478549m929             0          0          0          0         0         0
13478549m929s            0          0          0          0         0         0
13478523m929             0          0          0          0         0         0
13478523m929s            0          0          0          0         0         0
13478548m929             0          0          0          0         0         0
13478548m929s            0          0          0          0         0         0
13478550m929             0          0          0          0         0         0
13478550m929s            0          0          0          0         0         0
12973075m929             0          0          0          0         0         0
12973075m929s            0          0          0          0         0         0
13478620m929             0          0          0          0         0         0
13478620m929s            0          0          0          0         0         0
13478522m929             0          0          0          0         0         0
13478522m929s            0          0          0          0         0         0
8918508m929              0          0          0          0         0         0
8918508m929s             0          0          0          0         0         0
12763962m929             0          0          0          0         0         0
12763962m929s            0          0          0          0         0         0
8918516m929              0          0          0          0         0         0
8918516m929s             0          0          0          0         0         0
8918431m929              0          0          0          0         0         0
8918431m929s             0          0          0          0         0         0
8918531m929              0          0          0          0         0         0
8918531m929s             0          0          0          0         0         0
8918524m929              0          0          0          0         0         0
8918524m929s             0          0          0          0         0         0
8918564m929              0          0          0          0         0         0
8918564m929s             0          0          0          0         0         0
8918277m929              0          0          0          0         0         0
8918277m929s             0          0          0          0         0         0
8918157m929              0          0          0          0         0         0
8918157m929s             0          0          0          0         0         0
8918518m929              0          0          0          0         0         0
8918518m929s             0          0          0          0         0         0
8918504m929              0          0          0          0         0         0
8918504m929s             0          0          0          0         0         0
8918547m929              0          0          0          0         0         0
8918547m929s             0          0          0          0         0         0
8918437m929              0          0          0          0         0         0
8918437m929s             0          0          0          0         0         0
8918511m929              0          0          0          0         0         0
8918511m929s             0          0          0          0         0         0
8918062m929              0          0          0          0         0         0
8918062m929s             0          0          0          0         0         0
8918171m929              0          0          0          0         0         0
8918171m929s             0          0          0          0         0         0
8918245m929              0          0          0          0         0         0
8918245m929s             0          0          0          0         0         0
8918106m929              0          0          0          0         0         0
8918106m929s             0          0          0          0         0         0
len10                    0          0          0          0         0         0
len14                    0          0          0          0         0         0
13478540m929             0          0          0          0         0         0
13478540m929s            0          0          0          0         0         0
8918160m929              0          0          0          0         0         0
8918160m929s             0          0          0          0         0         0
12375685m929             0          0          0          0         0         0
12375685m929s            0          0          0          0         0         0
len17                    0          0          0          0         0         0
len18                    0          0          0          0         0         0
13478503m929             0          0          0          0         0         0
13478503m929s            0          0          0          0         0         0
len12                    0          0          0          0         0         0
len13                    0          0          0          0         0         0
len5                     0          0          0          0         0         0
len6                     0          0          0          0         0         0
len7                     0          0          0          0         0         0
len9                     0          0          0          0         0         0
8918400m929              0          0          0          0         0         0
8918415m929              0          0          0          0         0         0
8917922m929              0          0          0          0         0         0
8917921m929              0          0          0          0         0         0
8917928m929              0          0          0          0         0         0
8917929m929              0          0          0          0         0         0
8917930m929              0          0          0          0         0         0
8917931m929              0          0          0          0         0         0
8917932m929              0          0          0          0         0         0
8917933m929              0          0          0          0         0         0
8917934m929              0          0          0          0         0         0
8917935m929              0          0          0          0         0         0
8917936m929              0          0          0          0         0         0
12375686m929             0          0          0          0         0         0
8918512m929              0          0          0          0         0         0
12503160m929             0          0          0          0         0         0
8918061m929              0          0          0          0         0         0
8918513m929              0          0          0          0         0         0
12522149m929             0          0          0          0         0         0
8918108m929              0          0          0          0         0         0
8918109m929              0          0          0          0         0         0
8918563m929              0          0          0          0         0         0
104033142m929            0          0          0          0         0         0
104033143m929            0          0          0          0         0         0
104033141m929            0          0          0          0         0         0
104033140m929            0          0          0          0         0         0
8918068m929              0          0          0          0         0         0
8918069m929              0          0          0          0         0         0
8918067m929              0          0          0          0         0         0
8918063m929              0          0          0          0         0         0
8918060m929              0          0          0          0         0         0
12626675m929             0          0          0          0         0         0
8918143m929              0          0          0          0         0         0
12708571m929             0          0          0          0         0         0
12708570m929             0          0          0          0         0         0
12708572m929             0          0          0          0         0         0
12708573m929             0          0          0          0         0         0
8917909m929              0          0          0          0         0         0
12750964m929             0          0          0          0         0         0
12750963m929             0          0          0          0         0         0
12750976m929             0          0          0          0         0         0
12750975m929             0          0          0          0         0         0
12750977m929             0          0          0          0         0         0
12750982m929             0          0          0          0         0         0
12750983m929             0          0          0          0         0         0
12750984m929             0          0          0          0         0         0
12750970m929             0          0          0          0         0         0
12750985m929             0          0          0          0         0         0
12750994m929             0          0          0          0         0         0
12750990m929             0          0          0          0         0         0
12750989m929             0          0          0          0         0         0
12750991m929             0          0          0          0         0         0
12750992m929             0          0          0          0         0         0
12750993m929             0          0          0          0         0         0
12750995m929             0          0          0          0         0         0
12751002m929             0          0          0          0         0         0
12751000m929             0          0          0          0         0         0
12750999m929             0          0          0          0         0         0
12751001m929             0          0          0          0         0         0
8918551m929              0          0          0          0         0         0
12763961m929             0          0          0          0         0         0
8918520m929              0          0          0          0         0         0
12820338m929             0          0          0          0         0         0
8918280m929              0          0          0          0         0         0
8918170m929              0          0          0          0         0         0
12840287m929             0          0          0          0         0         0
104388382m929            0          0          0          0         0         0
104388383m929            0          0          0          0         0         0
104388381m929            0          0          0          0         0         0
12854946m929             0          0          0          0         0         0
12907975m929             0          0          0          0         0         0
8918034m929              0          0          0          0         0         0
8918032m929              0          0          0          0         0         0
8918031m929              0          0          0          0         0         0
8918030m929              0          0          0          0         0         0
8918029m929              0          0          0          0         0         0
8918532m929              0          0          0          0         0         0
12910794m929             0          0          0          0         0         0
