
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus               Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

ancrdn               39.84          1   2.591E-9   6.505E-9  2.591E-9  6.505E-9
rdn02t2              7.967          1  5.183E-10   6.505E-9 4.577E-16 5.745E-15
rdn02t1              6.973     0.8752     0.3934      5.641    0.5626     8.069
10184421m777         6.099     0.7655          0          0         0         0
10184420m777         6.099     0.7655          0          0         0         0
10184422m777         6.099     0.7655          0          0         0         0
10184423m777           6.1     0.7656          0          0         0         0
10184424m777         6.101     0.7657          0          0         0         0
10184425m777         6.101     0.7658          0          0         0         0
10184426m777         6.102     0.7658          0          0         0         0
10184427m777         6.103      0.766          0          0         0         0
10184428m777         6.103     0.7661          0          0         0         0
10184429m777         6.104     0.7662          0          0         0         0
10184430m777         6.105     0.7662          0          0         0         0
10184432m777         6.106     0.7663          0          0         0         0
10184433m777         6.106     0.7664          0          0         0         0
10184434m777         6.107     0.7665          0          0         0         0
10184435m777         6.108     0.7666          0          0         0         0
10184436m777         6.109     0.7667          0          0         0         0
10184437m777         6.109     0.7668          0          0         0         0
10184438m777         6.111      0.767          0          0         0         0
10184439m777         6.112     0.7671          0          0         0         0
10184440m777         6.113     0.7673          0          0         0         0
10184441m777         5.738     0.7202     0.5376      9.369    0.7098     12.37
7781423m777          5.741     0.7205     0.5396      9.399    0.7104     12.37
7782776m777           5.74     0.7205     0.5393      9.396    0.7103     12.37
7782777m777           5.74     0.7204     0.5391      9.392    0.7102     12.37
7782778m777           5.74     0.7204     0.5389      9.389    0.7102     12.37
7782779m777           5.74     0.7204     0.5387      9.386    0.7101     12.37
7782780m777          5.739     0.7203     0.5385      9.383    0.7101     12.37
7782781m777          5.739     0.7203     0.5383       9.38      0.71     12.37
7782782m777          5.739     0.7203     0.5381      9.377      0.71     12.37
7782783m777          5.738     0.7202     0.5379      9.374    0.7099     12.37
10248637m777        0.8992     0.1129     0.3672      40.83     0.612     68.05
10248636m777        0.8992     0.1129     0.3672      40.83     0.612     68.05
10248638m777        0.8992     0.1129     0.3672      40.83     0.612     68.05
10248639m777        0.8992     0.1129     0.3672      40.83     0.612     68.05
10248641m777        0.8946     0.1123     0.3661      40.92      0.61     68.18
10248640m777        0.8939     0.1122     0.3659      40.94    0.6096     68.19
7782333m777         0.8927      0.112     0.3657      40.96     0.609     68.22
10248643m777        0.8973     0.1126     0.3666      40.86    0.6113     68.12
10248642m777        0.8965     0.1125     0.3665      40.88    0.6109     68.14
7782306m777         0.8956     0.1124     0.3663       40.9    0.6104     68.16
10248645m777          0.91     0.1142     0.3706      40.72     0.615     67.58
10248646m777        0.9087      0.114     0.3702      40.74    0.6146     67.64
7782331m777         0.9071     0.1139     0.3697      40.75    0.6142      67.7
10248647m777        0.9059     0.1137     0.3693      40.76    0.6138     67.76
10248648m777        0.9044     0.1135     0.3688      40.78    0.6134     67.82
7782332m777         0.9025     0.1133     0.3682       40.8    0.6129     67.91
10248649m777        0.9011     0.1131     0.3677      40.81    0.6125     67.97
10248644m777        0.8992     0.1129     0.3672      40.83     0.612     68.05
7782175m777         0.8979     0.1127     0.3667      40.84    0.6116     68.11
10292460m777         1.952      0.245     0.7324      37.52    0.9064     46.43
10292459m777         1.952      0.245     0.7324      37.52    0.9064     46.43
10292469m777         1.952      0.245     0.7324      37.52    0.9064     46.43
10292462m777         1.952      0.245     0.7323      37.52    0.9064     46.44
10292461m777         1.952      0.245     0.7322      37.52    0.9064     46.44
10292463m777         1.952      0.245     0.7323      37.52    0.9064     46.44
10292464m777         1.952      0.245     0.7323      37.52    0.9064     46.44
10292465m777         1.952      0.245     0.7323      37.52    0.9064     46.43
10292466m777         1.952      0.245     0.7323      37.52    0.9064     46.43
10292467m777         1.952      0.245     0.7324      37.52    0.9064     46.43
10292468m777         1.952      0.245     0.7324      37.52    0.9064     46.43
7781629m777          1.952      0.245     0.7324      37.52    0.9064     46.43
12047475m777         1.499     0.1881          0          0         0         0
12047474m777         1.499     0.1881          0          0         0         0
12047476m777         1.499     0.1881          0          0         0         0
12047477m777         1.499     0.1882          0          0         0         0
12047478m777           1.5     0.1882          0          0         0         0
12047479m777           1.5     0.1883          0          0         0         0
12047480m777           1.5     0.1883          0          0         0         0
12047481m777         1.501     0.1883          0          0         0         0
12047482m777         1.501     0.1884          0          0         0         0
12047483m777         1.501     0.1884          0          0         0         0
12047485m777         1.501     0.1884          0          0         0         0
