
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus               Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

ptucjd                 Nan        Nan        Nan          0       Nan         0
cjd02t1                Nan        Nan        Nan          0       Nan         0
cjd02t2                Nan        Nan        Nan          0       Nan         0
12080022m573           Nan        Nan        Nan          0       Nan         0
30108m573              Nan        Nan        Nan          0       Nan         0
12080024m573           Nan        Nan        Nan          0       Nan         0
12231868m573           Nan        Nan        Nan          0       Nan         0
12231867m573           Nan        Nan        Nan          0       Nan         0
23866m573              Nan        Nan        Nan          0       Nan         0
12300254m573           Nan        Nan        Nan          0       Nan         0
12300253m573           Nan        Nan        Nan          0       Nan         0
28887m573              Nan        Nan        Nan          0       Nan         0
12314746m573           Nan        Nan        Nan          0       Nan         0
18477m573              Nan        Nan        Nan          0       Nan         0
12336728m573           Nan        Nan        Nan          0       Nan         0
12336729m573           Nan        Nan        Nan          0       Nan         0
12347053m573           Nan        Nan        Nan          0       Nan         0
29146m573              Nan        Nan        Nan          0       Nan         0
12347047m573           Nan        Nan        Nan          0       Nan         0
12347046m573           Nan        Nan        Nan          0       Nan         0
18480m573              Nan        Nan        Nan          0       Nan         0
29246m573              Nan        Nan        Nan          0       Nan         0
12353033m573           Nan        Nan        Nan          0       Nan         0
29482m573              Nan        Nan        Nan          0       Nan         0
29358m573              Nan        Nan        Nan          0       Nan         0
12520860m573           Nan        Nan        Nan          0       Nan         0
12520859m573           Nan        Nan        Nan          0       Nan         0
29435m573              Nan        Nan        Nan          0       Nan         0
12567353m573           Nan        Nan        Nan          0       Nan         0
30581m573              Nan        Nan        Nan          0       Nan         0
12667883m573           Nan        Nan        Nan          0       Nan         0
12667882m573           Nan        Nan        Nan          0       Nan         0
12667884m573           Nan        Nan        Nan          0       Nan         0
12667885m573           Nan        Nan        Nan          0       Nan         0
12667886m573           Nan        Nan        Nan          0       Nan         0
28526m573              Nan        Nan        Nan          0       Nan         0
12677365m573           Nan        Nan        Nan          0       Nan         0
12677364m573           Nan        Nan        Nan          0       Nan         0
12677366m573           Nan        Nan        Nan          0       Nan         0
12677367m573           Nan        Nan        Nan          0       Nan         0
12677368m573           Nan        Nan        Nan          0       Nan         0
12677369m573           Nan        Nan        Nan          0       Nan         0
13404855m573           Nan        Nan        Nan          0       Nan         0
13404864m573           Nan        Nan        Nan          0       Nan         0
12706677m573           Nan        Nan        Nan          0       Nan         0
12706676m573           Nan        Nan        Nan          0       Nan         0
29480m573              Nan        Nan        Nan          0       Nan         0
12724417m573           Nan        Nan        Nan          0       Nan         0
12724416m573           Nan        Nan        Nan          0       Nan         0
28557m573              Nan        Nan        Nan          0       Nan         0
28588m573              Nan        Nan        Nan          0       Nan         0
104424836m573          Nan        Nan        Nan          0       Nan         0
28484m573              Nan        Nan        Nan          0       Nan         0
28516m573              Nan        Nan        Nan          0       Nan         0
28405m573              Nan        Nan        Nan          0       Nan         0
12755111m573           Nan        Nan        Nan          0       Nan         0
104186857m573          Nan        Nan        Nan          0       Nan         0
4060m573               Nan        Nan        Nan          0       Nan         0
4045m573               Nan        Nan        Nan          0       Nan         0
4169m573               Nan        Nan        Nan          0       Nan         0
4150m573               Nan        Nan        Nan          0       Nan         0
4135m573               Nan        Nan        Nan          0       Nan         0
4246m573               Nan        Nan        Nan          0       Nan         0
13029764m573           Nan        Nan        Nan          0       Nan         0
12978554m573           Nan        Nan        Nan          0       Nan         0
28699m573              Nan        Nan        Nan          0       Nan         0
13039665m573           Nan        Nan        Nan          0       Nan         0
13039666m573           Nan        Nan        Nan          0       Nan         0
23860m573              Nan        Nan        Nan          0       Nan         0
23875m573              Nan        Nan        Nan          0       Nan         0
23848m573              Nan        Nan        Nan          0       Nan         0
28387m573              Nan        Nan        Nan          0       Nan         0
13042593m573           Nan        Nan        Nan          0       Nan         0
28372m573              Nan        Nan        Nan          0       Nan         0
13056972m573           Nan        Nan        Nan          0       Nan         0
29447m573              Nan        Nan        Nan          0       Nan         0
678803m573             Nan        Nan        Nan          0       Nan         0
104624737m573          Nan        Nan        Nan          0       Nan         0
23398m573              Nan        Nan        Nan          0       Nan         0
13216820m573           Nan        Nan        Nan          0       Nan         0
29705m573              Nan        Nan        Nan          0       Nan         0
13235847m573           Nan        Nan        Nan          0       Nan         0
23831m573              Nan        Nan        Nan          0       Nan         0
23703m573              Nan        Nan        Nan          0       Nan         0
13347978m573           Nan        Nan        Nan          0       Nan         0
30647m573              Nan        Nan        Nan          0       Nan         0
29878m573              Nan        Nan        Nan          0       Nan         0
13434668m573           Nan        Nan        Nan          0       Nan         0
29697m573              Nan        Nan        Nan          0       Nan         0
13453009m573           Nan        Nan        Nan          0       Nan         0
13453013m573           Nan        Nan        Nan          0       Nan         0
29750m573              Nan        Nan        Nan          0       Nan         0
13453039m573           Nan        Nan        Nan          0       Nan         0
18434m573              Nan        Nan        Nan          0       Nan         0
13453053m573           Nan        Nan        Nan          0       Nan         0
29686m573              Nan        Nan        Nan          0       Nan         0
13599866m573           Nan        Nan        Nan          0       Nan         0
30465m573              Nan        Nan        Nan          0       Nan         0
13599877m573           Nan        Nan        Nan          0       Nan         0
13599884m573           Nan        Nan        Nan          0       Nan         0
13599888m573           Nan        Nan        Nan          0       Nan         0
13599896m573           Nan        Nan        Nan          0       Nan         0
13599908m573           Nan        Nan        Nan          0       Nan         0
29399m573              Nan        Nan        Nan          0       Nan         0
4740m573               Nan        Nan        Nan          0       Nan         0
29383m573              Nan        Nan        Nan          0       Nan         0
23827m573              Nan        Nan        Nan          0       Nan         0
3642079m573            Nan        Nan        Nan          0       Nan         0
23736m573              Nan        Nan        Nan          0       Nan         0
29376m573              Nan        Nan        Nan          0       Nan         0
29398m573              Nan        Nan        Nan          0       Nan         0
23450m573              Nan        Nan        Nan          0       Nan         0
23368m573              Nan        Nan        Nan          0       Nan         0
23388m573              Nan        Nan        Nan          0       Nan         0
23292m573              Nan        Nan        Nan          0       Nan         0
23377m573              Nan        Nan        Nan          0       Nan         0
23417m573              Nan        Nan        Nan          0       Nan         0
29308m573              Nan        Nan        Nan          0       Nan         0
4620m573               Nan        Nan        Nan          0       Nan         0
4643m573               Nan        Nan        Nan          0       Nan         0
29305m573              Nan        Nan        Nan          0       Nan         0
4561m573               Nan        Nan        Nan          0       Nan         0
4455m573               Nan        Nan        Nan          0       Nan         0
18333m573              Nan        Nan        Nan          0       Nan         0
4459m573               Nan        Nan        Nan          0       Nan         0
4475m573               Nan        Nan        Nan          0       Nan         0
28955m573              Nan        Nan        Nan          0       Nan         0
28976m573              Nan        Nan        Nan          0       Nan         0
28990m573              Nan        Nan        Nan          0       Nan         0
29004m573              Nan        Nan        Nan          0       Nan         0
18336m573              Nan        Nan        Nan          0       Nan         0
28908m573              Nan        Nan        Nan          0       Nan         0
28923m573              Nan        Nan        Nan          0       Nan         0
28935m573              Nan        Nan        Nan          0       Nan         0
28809m573              Nan        Nan        Nan          0       Nan         0
28920m573              Nan        Nan        Nan          0       Nan         0
28818m573              Nan        Nan        Nan          0       Nan         0
28838m573              Nan        Nan        Nan          0       Nan         0
28848m573              Nan        Nan        Nan          0       Nan         0
28858m573              Nan        Nan        Nan          0       Nan         0
28872m573              Nan        Nan        Nan          0       Nan         0
28869m573              Nan        Nan        Nan          0       Nan         0
28859m573              Nan        Nan        Nan          0       Nan         0
28845m573              Nan        Nan        Nan          0       Nan         0
28841m573              Nan        Nan        Nan          0       Nan         0
28846m573              Nan        Nan        Nan          0       Nan         0
28860m573              Nan        Nan        Nan          0       Nan         0
28870m573              Nan        Nan        Nan          0       Nan         0
28750m573              Nan        Nan        Nan          0       Nan         0
28776m573              Nan        Nan        Nan          0       Nan         0
23572m573              Nan        Nan        Nan          0       Nan         0
23547m573              Nan        Nan        Nan          0       Nan         0
23556m573              Nan        Nan        Nan          0       Nan         0
23434m573              Nan        Nan        Nan          0       Nan         0
23438m573              Nan        Nan        Nan          0       Nan         0
18532m573              Nan        Nan        Nan          0       Nan         0
30102m573              Nan        Nan        Nan          0       Nan         0
30013m573              Nan        Nan        Nan          0       Nan         0
29959m573              Nan        Nan        Nan          0       Nan         0
