"0.4H","0.5H","0.8H","1H","2H","3H","5H","8H","1K","2K","3K","5K","6K","8K","10K","12K","15K","20K","25K","30K","40K","50K","60K","65K","75K","80K","100K","140K","200K","LAMINA","ELO","S/C","10F","1EF","40EF","65EF","80EF","100EF","6T","8T","10T","12T","15T","20T","25T","30T","40T","50T","65T","80T","100T"
"1.2;300","1.3;300","2.6;300","3.515;300","4.7061;300","6.5281;300","9.55;300","15.5862;300","2.35294;297.831","4.78649;300.963","7.26874;301.278","11.869;298.767","15.0495;299.421","18.9224;301.826","24.7134;298.524","30.8873;298.823","38.2195;298.524","50.0162;300.922","61.519;300.321","78.913;299.122","97.8412;272.83","122.774;299.421",,"156.076;299.122",,"199.008;299.122","252.23;300.922","358.729;611.645","577.926;608.454",,,,,"2.5;300","80;300","120;300","170;300","220;100","14.9595;299.421","18.5477;298.524","23.626;297.035","29.5873;297.035","35.9219;298.226","46.4022;298.524","60.482;296.442","75.8188;297.63","99.5187;296.738","120.825;297.63","151.615;297.035","202.622;296.146","239.689;296.146"
"1.35;100","1.5;100","2.6;100","3.8446;145.2957","4.9424;194.2592","7.1403;145.5996","9.8944;196.0943","16.1148;97.5872","2.33835;189.95","4.76668;233.659","7.28382;261.329","11.8199;224.319","15.0947;193.611","19.0172;204.967","24.8373;260.564","31.0422;273.377","38.2577;260.564","50.2166;229.947","61.6422;258.747","79.4673;236.713","97.8412;298.524","123.142;275.297",,"156.232;238.138",,"200.005;267.161","254.002;272.013","361.342;502.457","586.375;424.14",,,,,"2.9;100","90;100","150;100","190;100","260;20","15.0194;273.924","18.9224;242.706","23.8157;264.502","30.2455;245.39","36.2466;269.846","46.8217;263.183","61.2734;244.655","76.6574;273.924","101.022;261.347","124.754;238.853","155.608;215.476","206.302;245.636","242.825;274.747"
"3.8;20","4.2;20","5;20","4.1658;87.815","5.4796;96.573","7.8017;86.721","10.2727;145.9041","16.5575;48.514","2.3505;137.491","4.75681;175.619","7.31409;200.358","11.8077;168.422","15.0947;262.92","19.0172;242.463","24.9368;191.301","31.1666;233.89","38.5265;214.401","50.5694;198.711","62.2617;202.522","79.7061;203.537","99.0224;220.489","123.76;220.269",,"157.487;177.834",,"200.405;219.829","255.531;222.483","366.245;336.956","606.153;263.25",,,,,"4;20","105;20","180;20","205;20","300;10","15.1098;232.956","19.3433;182.518","24.1032;224.046","30.9801;184.906","37.0158;218.951","47.6244;222.928","62.1373;199.108","78.0497;236.24","103.995;207.649","129.715;178.19","159.07;167.477","212.373;184.537","247.483;240.531"
"13;1","16;1","18;1","4.8203;48.514","5.9066;68.6988","8.9711;48.768","11.0848;97.3835","17.718;19.3671","2.36027;101.517","4.75681;121.273","7.35973;140.691","11.8322;115.939","15.1249;143.717","19.1317;164.49","24.9868;137.668","31.2602;201.714","38.7196;173.616","50.9246;153.369","62.8246;149.732","80.749;131.085","99.8177;160.108","125.004;174.138",,"159.388;131.611",,"201.612;181.426","258.099;175.537","373.53;229.781","625.301;164.419",,,,,"25;1","200;1","350;1","440;1","330;5","15.3075;181.789","19.6749;133.867","24.492;182.336","31.5428;156.938","37.6882;176.593","48.2959;182.336","63.5194;158.356","80.5877;178.012","107.269;159.309","134.47;134.942","162.934;130.171","218.185;144.293","255.531;189.398"
"50;0.1","56;0.1","63;0.1","5.7009;29.1076","6.8917;38.7949","10.6544;28.9258","12.6272;58.6733","19.4199;9.5979","2.37746;75.3491","4.76668;81.9254","7.42102;101.411","11.8567;85.7839","15.1552;103.115","19.2661;135.483","25.1371;100.068","31.3855;159.469","39.1479;134.673","51.1799;123.205","63.8378;107.969","80.749;153.063","100.619;121.613","125.505;142.43",,"161.151;95.0924",,"202.825;143.574","260.432;135.212","382.544;149.647","655.164;103.772",,,,,"80;0.1","600;0.1","900;0.1","1100;0.1","415;2","15.4768;142.003","20.1932;101.478","25.0118;148.985","32.18;129.004","38.488;142.145","49.3208;140.029","64.5439;131.479","82.876;140.449","111.09;122.345","141.082;97.3049","167.393;100.268","223.485;115.336","266.492;141.436"
,,,"6.7075;19.246","9.0179;19.2259","12.5747;19.2662","14.3993;38.9981","20.5657;6.6516","2.40971;55.9847","4.83135;61.1901","7.48282;77.3454","11.906;62.68","15.277;78.4804","19.3433;105.937","25.4406;72.519","31.6692;120.886","39.4229;103.632","51.5909;100.168","64.9323;79.5869","81.8056;99.6685","102.038;92.6519","127.02;114.417",,"163.914;72.7369",,"203.842;119.923","263.84;102.806","391.775;104.534","689.304;61.7688",,,,,,,,,"520;1","15.7265;104.673","20.663;76.4662","25.5681;116.962","33.0938;99.6685","39.3048;111.257","50.0162;125.192","66.0456;105.725","84.3813;119.563","115.277;92.6519","148.167;70.5166","173.009;76.3898","230.291;88.93","277.367;109.163"
,,,"7.6967;14.38","10.402;14.4553","14.4293;14.365","17.2444;26.2477","23.1844;3.7997","2.44241;41.121","4.88676;44.7099","7.57649;56.87","12.0176;46.4255","15.3997;64.3186","19.5572;83.4168","25.6963;54.6445","31.828;98.9733","39.8191;79.826","51.6942;84.0868","66.2441;57.8497","82.4627;82.3394","103.269;70.0948","128.296;93.8642",,"166.391;56.365",,"205.479;93.0233","267.025;82.6694","404.57;70.3965","726.729;38.3379",,,,,,,,,"720;.5","15.9801;81.3572","21.1861;58.3727","26.163;94.3347","33.6276;86.388","40.3401;87.9571","50.9246;103.528","67.178;87.8692","86.5174;96.3367","121.43;65.356","155.453;53.7234","177.389;61.0595","239.21;67.5487","287.535;86.6476"
,,,"10.1345;8.6368","13.1648;9.5779","19.5621;8.6008","18.3955;14.5462","24.8613;2.8568","2.48841;31.1989","4.9685;33.6744","7.7192;43.193","12.1807;34.5305","15.5544;50.2921","19.7341;68.6382","26.2154;40.8884","32.1479;79.826","40.6235;61.9203","52.4755;65.03","67.6499;42.685","83.3748;68.8444","104.516;54.6445","128.939;85.187",,"169.753;42.5997",,"207.336;76.2372","270.79;67.2118","416.054;49.4325","774.973;23.1809",,,,,,,,,"1600;.1","16.3519;62.2307","21.9188;43.5473","26.6382;77.2347","34.5479;69.3973","41.6935;67.1446","51.6426;88.8411","68.8098;71.8693","88.2652;83.3334","126.26;50.696","159.07;46.379","183.34;48.4653","247.483;53.0295","296.588;72.0852"
,,,"12.733;4.7964","15.1854;7.6831","21.9843;4.7814","20.1624;7.6751","30.2741;1.4128","2.5564;23.4492","5.09367;25.1514","7.93009;30.2035","12.3972;24.5023","15.7737;40.7252","19.9125;55.1385","26.7717;30.0495","32.471;67.4137","41.1962;48.1272","52.9499;55.0834","69.9196;31.9077","84.7195;54.9184","106.414;43.5473","130.105;72.3741",,"174.748;31.2446",,"210.47;59.4329","275.157;55.637","436.828;30.2035","828.135;14.9241",,,,,,,,,"2000;.05","16.6823;48.0791","22.6769;33.5101","27.122;64.641","35.5289;55.3595","43.3084;50.8992","52.6331;75.6297","70.6223;58.1978","91.0443;68.0912","132.866;37.7825","165.561;36.4465","190.251;38.2004","256.555;42.3872","308.692;56.6475"
,,,"14.4896;2.8628","22.0531;4.6436","23.1603;3.7997","23.1603;3.7997","41.1718;0.6604","2.61266;18.0347","5.26002;17.7168","8.1383;21.7026","12.6701;18.2434","16.0442;31.4012","20.2134;44.7838","27.3672;23.2161","32.6337;59.8504","41.9444;37.2573","54.0195;42.5997","71.905;23.8992","85.5709;45.5972","108.89;33.9825","131.019;60.6335",,"178.635;24.2119",,"213.651;47.3633","279.875;43.941","463.419;18.3582","889.543;9.26293",,,,,,,,,"3200;.02","17.1731;36.7026","23.5552;25.6577","27.8086;51.2055","36.9419;41.6727","44.851;40.5221","54.3446;57.1596","72.4826;47.3633","94.7598;51.8756","139.121;29.3076","174.748;27.1627","196.83;30.9956","265.163;34.1529","323.223;43.5473"
