fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
10000.0,0.0131,10000.0,0.0131
10000.0,0.0131,10000.0,0.01
5844.99,0.013284,2628.95,0.01
5433.51,0.013607,2628.95,0.01
5025.8,0.013993,2628.95,0.01
4593.24,0.014711,2500.74,0.011085
4317.1,0.015419,2244.73,0.01373
4069.76,0.016128,2072.15,0.016145
3741.87,0.017367,1924.34,0.01872
3419.81,0.018814,1694.83,0.024133
3066.65,0.021128,1539.69,0.029183
2772.04,0.024037,1445.69,0.033201
2528.4,0.027237,1345.26,0.038267
2350.4,0.029802,1260.59,0.043362
2137.39,0.034315,1066.71,0.060739
1996.88,0.037434,913.554,0.082071
1727.34,0.046367,766.123,0.117049
1564.53,0.053495,643.128,0.164447
1471.94,0.059062,540.959,0.231734
1346.6,0.06787,457.759,0.322013
1263.12,0.075083,389.687,0.441683
1159.03,0.086972,332.734,0.604012
1089.35,0.096601,306.845,0.713081
934.81,0.125536,279.037,0.86057
811.061,0.161999,252.735,1.049
722.23,0.197669,238.971,1.17097
664.705,0.232198,220.378,1.37553
594.87,0.286745,199.008,1.68512
515.606,0.375626,187.793,1.93448
464.677,0.459249,174.398,2.33227
418.36,0.56149,163.423,2.7342
377.037,0.690623,154.06,3.20221
337.088,0.870089,145.816,3.78045
291.88,1.16513,138.15,4.46309
266.492,1.43023,130.496,5.41863
253.241,1.59017,123.884,6.37793
224.38,2.08723,117.724,7.66638
209.63,2.46413,114.473,8.57494
200.205,2.74516,108.347,10.6423
187.793,3.25061,104.935,12.1684
178.635,3.72044,99.1214,15.0871
171.459,4.1864,96.8677,17.2333
165.231,4.64524,93.1625,20.9229
160.027,5.13892,90.9533,23.995
152.527,6.0005,87.1252,30.6872
147.871,6.69154,84.7195,36.0478
142.073,7.62051,81.1538,48.031
137.599,8.53217,77.5828,65.4213
132.999,9.63926,74.5407,88.575
127.912,11.2891,72.1932,121.249
123.019,13.0899,69.1547,168.317
118.078,15.6245,67.2452,217.424
113.902,18.299,65.782,267.696
110.315,21.5601,64.7378,302.733
105.884,26.3863,,
103.476,30.2001,,
100.619,35.7248,,
96.6741,44.2054,,
94.7598,51.8756,,
91.0443,68.0912,,
88.2652,83.3334,,
86.5174,96.3367,,
84.3813,119.563,,
82.876,140.449,,
80.5877,178.012,,
78.0497,236.24,,
76.6574,273.924,,
75.8188,297.63,,
