fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
4714.23,0.012995,4714.23,0.012995
4714.23,0.012995,4714.23,0.01
4506.79,0.013526,2407.49,0.01
4189.52,0.014434,2407.49,0.01
3844.27,0.015527,2407.49,0.01
3598.74,0.01657,2336.34,0.01065
3355.45,0.017594,2124.6,0.012789
3042.21,0.019542,1986.92,0.014492
2752.71,0.021837,1753.45,0.01846
2546.16,0.023893,1604.13,0.021946
2322.36,0.026939,1412.81,0.028321
2152.4,0.029862,1319.94,0.032707
2008.89,0.032904,1171.85,0.041662
1852.59,0.037025,1087.18,0.047971
1727.34,0.04133,971.016,0.0608
1621.88,0.04586,901.755,0.070287
1479.32,0.053549,811.872,0.086972
1362.86,0.06135,752.456,0.101452
1263.12,0.069379,677.455,0.124785
1174.2,0.078225,616.059,0.148947
1090.44,0.087846,553.545,0.185414
982.738,0.104961,501.871,0.226465
916.299,0.117049,450.944,0.282758
845.851,0.135043,410.897,0.340561
786.304,0.15379,368.464,0.423941
740.513,0.167937,344.931,0.486674
669.374,0.200857,311.171,0.600399
624.745,0.225111,286.673,0.708815
572.689,0.264699,270.79,0.806412
519.748,0.315953,254.511,0.925742
475.013,0.373379,240.169,1.07126
425.533,0.456046,228.227,1.21633
382.735,0.563177,217.967,1.37141
350.144,0.670883,208.167,1.56493
327.453,0.775567,198.809,1.78218
311.794,0.869219,190.632,2.03774
297.479,0.977106,183.523,2.30906
280.716,1.12057,177.211,2.59306
266.492,1.29931,170.433,2.97975
249.971,1.54935,163.75,3.46891
238.255,1.78575,157.487,4.15305
230.521,2.00941,149.357,5.2218
222.37,2.25656,144.076,6.27042
211.314,2.68006,139.678,7.46962
204.659,2.97678,136.502,8.48113
198.61,3.31959,132.203,10.6211
192.163,3.81462,129.456,11.9155
185.553,4.46309,126.386,14.7146
180.25,4.96713,123.019,18.2807
174.398,5.83482,121.309,21.1121
169.244,6.81989,119.503,24.5533
165.231,7.65871,117.606,29.016
161.151,8.95171,115.393,36.8128
157.96,10.1031,113.789,42.0916
154.987,11.4712,112.207,53.402
152.375,13.0899,110.647,63.8699
149.956,15.0871,109.436,82.5042
147.576,17.7049,108.239,97.8905
144.798,20.6114,107.162,129.263
143.071,23.8753,105.99,158.198
140.519,27.2171,105.25,201.714
138.704,31.1199,105.25,231.1
137.049,35.9398,104.621,295.554
135.144,40.6845,,
133.265,48.4653,,
131.019,60.6335,,
130.105,72.3741,,
128.939,85.187,,
128.296,93.8642,,
127.02,114.417,,
125.505,142.43,,
125.004,174.138,,
123.76,220.269,,
123.142,275.297,,
122.774,299.421,,
