fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
1000.0,0.0133,1000.0,0.0133
1000.0,0.0133,1000.0,0.01
700.0,0.0135,273.7626,0.01
603.3846,0.0138,273.7626,0.01
505.4123,0.0151,273.7626,0.01
425.5598,0.0169,158.5794,0.0299
359.8205,0.0198,103.7445,0.0694
253.5127,0.0298,71.0488,0.1468
180.1086,0.0496,35.3578,0.5782
119.5771,0.0981,28.1559,0.9679
93.6981,0.1467,22.0509,1.9532
64.3845,0.2872,18.5159,3.8922
41.1718,0.6604,15.9075,8.8526
30.2741,1.4128,14.381,19.8827
24.8613,2.8568,13.483,50.4903
23.1844,3.7997,13.0824,101.2487
20.5657,6.6516,12.8531,300.0
19.4199,9.5979,,
17.718,19.3671,,
16.5575,48.514,,
16.1148,97.5872,,
15.5862,300.0,,
