fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
605.675,0.012995,605.675,0.012995
605.675,0.012995,605.675,0.01
574.985,0.013662,316.19,0.01
529.188,0.014755,316.19,0.01
488.502,0.016032,316.19,0.01
440.691,0.017718,304.4,0.010942
402.761,0.019562,288.687,0.0123
370.681,0.021555,264.898,0.014667
340.816,0.024013,244.287,0.017315
312.418,0.026912,218.84,0.02149
283.821,0.030435,200.005,0.025754
261.215,0.034487,186.67,0.029565
240.891,0.038574,174.398,0.033669
222.148,0.043842,156.388,0.041871
206.509,0.049481,142.785,0.050582
191.779,0.05579,127.784,0.063535
178.278,0.063281,117.724,0.074933
163.26,0.072211,107.699,0.090431
150.106,0.082236,98.1352,0.107189
139.26,0.094122,89.0632,0.131314
128.939,0.106228,81.0727,0.156271
119.384,0.121218,73.9468,0.186343
110.757,0.13681,67.8532,0.222425
102.344,0.157684,60.9678,0.27358
95.1396,0.178679,55.7761,0.32688
88.619,0.202268,50.3675,0.400852
82.9589,0.228741,47.1034,0.464329
77.0416,0.262327,44.095,0.527207
72.121,0.297851,42.0284,0.592052
67.6499,0.331157,39.1479,0.678303
63.2659,0.377886,37.1642,0.770157
59.3437,0.424789,35.1754,0.872703
56.4495,0.471818,33.393,0.996845
52.5805,0.541636,31.6692,1.14435
49.469,0.61683,30.3971,1.28896
46.9154,0.697564,28.9146,1.52019
44.095,0.814517,27.8922,1.74515
41.32,0.942556,26.9059,1.96568
39.6601,1.05531,25.7477,2.30445
37.9909,1.19105,24.7381,2.65871
36.138,1.37415,23.8395,3.09516
34.721,1.55246,23.2742,3.46198
33.4264,1.75741,22.2278,4.20318
31.9236,2.05616,21.5925,5.00703
31.1978,2.2453,20.663,6.15856
30.185,2.57498,19.7933,7.82907
29.0595,3.01271,19.1892,9.49575
28.2007,3.40022,18.5477,11.8088
27.1763,4.00219,18.0356,14.8774
26.3468,4.56694,17.6784,18.9318
25.8509,5.1184,17.3111,24.1153
25.0869,6.06081,17.1217,28.2713
24.541,6.95071,16.7826,37.4815
24.007,7.87619,16.5659,46.0095
23.4846,9.25204,16.3356,59.7308
23.1581,10.5787,16.1892,72.0852
22.6769,12.3276,16.0763,90.9991
22.1613,15.2083,15.9801,107.646
21.7224,18.3539,15.8845,138.082
21.4419,21.3456,15.8528,159.628
21.1015,24.6517,15.8211,198.512
20.8498,28.3846,15.8211,228.343
20.6424,32.8794,15.8211,295.85
20.3758,37.8582,,
20.2134,44.7838,,
19.9125,55.1385,,
19.7341,68.6382,,
19.5572,83.4168,,
19.3433,105.937,,
19.2661,135.483,,
19.1317,164.49,,
19.0172,204.967,,
19.0172,242.463,,
18.9224,301.826,,
